"","res45thawed_frozen.rownames","res45thawed_frozen.log2FoldChange","res45thawed_frozen.padj","res45thawing_frozen.log2FoldChange","res45thawing_frozen.padj"
"46","L03F6120",-0.0244271920469783,NA,1.45639167609088,NA
"47","L03F6121",1.08671620515259,0.760659108390123,-0.808847339260264,0.812524358253981
"48","L03F6122",-3.39577642093708,0.202226029629395,-2.77443623230637,NA
"49","L03F6123",-1.87013241551488,0.112788010367215,-1.43001083923341,0.221951374377139
"50","L03F6124",-0.645712703306872,0.582736691696156,-0.48297505826301,0.623841155248503
"51","L03F6125",-2.10768382159883,0.0847103338391617,-2.15346662570323,0.148687524870049
"52","L03F6126",-4.19194312403674,0.0392612739136536,-2.02479034804932,NA
"53","L03F6127",-2.31537152571935,0.0481558107104103,-1.51212139151663,0.194534445125766
"54","L03F6128",-1.82884095665916,NA,-0.317466437438997,NA
"55","L03F6129",-1.74150815702795,0.0317412955965096,-1.9999483858976,0.0108366123035963
"56","L03F6130",-0.0247749536324204,NA,0,NA
"57","L03F6131",-1.70757155863925,0.0358465117117808,-1.64432014429615,0.0484703700015426
"58","L03F6132",-2.60214727393529,0.000270717944540862,-2.21178648799857,0.00376387777844428
"59","L03F6133",-0.55675438782937,0.308559180531186,-0.839057265606898,0.102753177968446
"60","L03F6134",-0.102487651425437,0.802288669962304,-0.302688385416197,0.320526937674011
"61","L03F6135",2.07159074654122,NA,0,NA
"62","L03F6136",1.07333443645118,0.582736691696156,0.895704458260433,0.602285975958953
"63","L03F6137",1.06563221466535,NA,-0.370048254323597,NA
"64","L03F6138",0.476944216599137,NA,0,NA
"65","L03F6139",1.84881635412363,NA,0.933786472455638,NA
"66","L03F6140",0.170526606898006,0.947946988919696,-0.0674445615817269,0.974885739803776
"67","L03F6141",1.58842472099572,NA,0,NA
"68","L03F6142",0,NA,0,NA
"69","L03F6143",0,NA,0,NA
"70","L03F6144",-0.207357979036689,NA,0,NA
"71","L03F6145",-0.02442692232375,NA,0,NA
"72","L03F6146",-1.82886565305278,NA,-0.317491133832619,NA
"73","L03F6147",0,NA,0,NA
"74","L03F6148",2.50950703092366,NA,1.45639045333767,NA
"75","L03F6149",-0.0731588062311286,0.986392816754789,-0.158615535460895,NA
"76","L03F6150",0.72840176780692,0.449408753870001,0.966425443147464,0.238625818111
"77","L03F6151",-3.68565857418037,NA,-2.1742840549602,NA
"78","L03F6152",-0.986185582589377,NA,-0.317466438974141,NA
"79","L03F6153",-0.484889935676666,0.661407633427498,-0.739951174116627,0.396413837059854
"80","L03F6154",-0.134334153925889,0.885147207783198,-0.169826089870649,0.819174693849299
