"","res83thawed_frozen.rownames","res83thawing_frozen.log2FoldChange","res83thawing_frozen.padj","res83thawed_frozen.log2FoldChange","res83thawed_frozen.padj"
"39","L03F6113",7.45670370599045,0.858693538673741,0,NA
"40","L03F6114",6.45614948576679,0.858693538673741,0.375726678455102,NA
"41","L03F6115",0,1,0,NA
"42","L03F6116",1.59837683482886,0.782184323669754,0.789640002063247,0.690918021943615
"43","L03F6117",6.39994965625611,0.782184323669754,0.37572692281869,NA
"44","L03F6118",3.00030967092731,0.766599355455134,-2.76672421269666,NA
"45","L03F6119",1.1863327934842,0.445362838085171,0.508822070726466,0.570414452866798
"46","L03F6120",6.45616496836071,0.858693538673741,0.375718625799354,NA
"47","L03F6121",3.52046418447837,0.445362838085171,1.56374191070122,NA
"48","L03F6122",1.80623723504908,0.837608082675322,-0.384102527858296,NA
"49","L03F6123",-0.477708514724587,0.932452558621442,-1.15294804314219,0.374563233569678
"50","L03F6124",-0.346863008391114,0.965503876332501,-1.09969528237818,0.317622593090199
"51","L03F6125",-0.293530172960274,1,-1.05815916005092,0.44226863601842
"52","L03F6126",1.95422135059693,0.652900793238954,-2.35595639974323,NA
"53","L03F6127",-0.00936025896067297,1,-1.32241917493862,0.323593181188796
"54","L03F6128",0,1,0,NA
"55","L03F6129",-1.58265001745511,0.418593996265604,-1.84496544433126,0.0430265855385909
"56","L03F6130",4.56847771203747,0.884451494715643,-1.50965571805945,NA
"57","L03F6131",-1.72137764123528,0.418593996265604,-1.17320583479797,0.210951156039208
"58","L03F6132",-1.90406080014789,0.266564414792584,-1.50337535821866,0.0945279672346181
"59","L03F6133",0.0614459500848645,1,0.419192513138785,0.430725017860515
"60","L03F6134",0.044155123153178,1,-0.000153227227975603,0.999406801500072
"61","L03F6135",4.42296712233676,0.913253338840662,0.00374647560513298,NA
"62","L03F6136",1.85212355621785,0.472665620894046,0.134827154244462,0.954158517365599
"63","L03F6137",6.36210268078594,0.711177816582491,0.375736811432877,NA
"64","L03F6138",5.77698821355514,0.870101060442836,0.379118760694866,NA
"65","L03F6139",3.3502252131815,0.421935256474719,-0.618452504553824,NA
"66","L03F6140",1.12940632618864,0.858693538673741,-0.987465034196403,0.587678863016746
"67","L03F6141",3.20006877096181,0.870101060442836,-1.43781339780802,NA
"68","L03F6142",4.90815488638415,0.880537015277557,-1.17227510956307,NA
"69","L03F6143",0,1,0,NA
"70","L03F6144",0,1,0,NA
"71","L03F6145",0,1,2.05881146839009,NA
"72","L03F6146",0,1,0,NA
"73","L03F6147",0,1,0,NA
"74","L03F6148",0,1,0,NA
"75","L03F6149",3.48711021836479,0.294185793521836,1.07093099217317,NA
"76","L03F6150",0.249937958850865,1,-0.255428675085029,0.857514081233031
"77","L03F6151",4.3189098897599,0.913298652715641,-1.76151292032935,NA
"78","L03F6152",5.32693850240609,0.870101060442836,-0.753491494014046,NA
"79","L03F6153",-0.164765977462451,1,-0.251389226640884,0.829195727722446
"80","L03F6154",0.473377570553602,0.858693538673741,0.252363755023026,0.713557383776692
"81","L03F6155",0.0673866386635781,0.952539235942182,-0.0539093794336102,0.837769139498458
"82","L03F6156",0.466764780410346,0.421935256474719,0.617864090780622,0.0220506468396109
"83","L03F6157",0.132024458538438,1,-0.0537128615392469,0.954158517365599
"84","L03F6158",1.30792722930209,0.445362838085171,0.0639336856604405,0.955017986122343
"85","L03F6159",0.611774530680709,0.870101060442836,0.454230687389489,0.726660192225504
"86","L03F6160",0.0750830392347787,1,0.173402363266923,0.941504763081956
"87","L03F6161",3.41080999020875,0.785678135311995,0.684645789478544,NA
"88","L03F6162",2.20026537837046,0.421935256474719,1.72541846792658,0.270651064912117
"89","L03F6163",7.45975423103271,0.766599355455134,4.09566485748605,NA
"90","L03F6164",-0.129487494463824,1,0.0686531993886715,0.954158517365599
