"","resNewThawed_frozen.rownames","resNewThawing_frozen.log2FoldChange","resNewThawing_frozen.padj","resNewThawed_frozen.log2FoldChange","resNewThawed_frozen.padj"
"149","L03F6223",0,1,0,1
"150","L03F6224",-0.101447537309425,1,-0.507756070668648,1
"151","L03F6225",-0.552687963963294,1,-0.534806391779588,1
"152","L03F6226",-1.19722045235517,1,-0.687290804733825,1
"153","L03F6227",0.768305918136467,1,1.4906269810146,1
"154","L03F6228",0.76829985561149,1,-1.44161274391707,1
"155","L03F6229",1.73008417028418,1,0.185062029785145,1
"156","L03F6230",0,1,0,1
"157","L03F6231",0,1,0,1
"158","L03F6232",0,1,1.85845991802156,1
"159","L03F6233",-0.34561416421091,1,-0.897201078887564,1
"160","L03F6234",0.164986227188383,1,-1.59594428904804,1
"161","L03F6235",-0.529444841957201,1,-0.903365363079349,1
"162","L03F6236",-0.52206091082455,1,-0.818838952437904,1
"163","L03F6237",-0.6716613179912,1,-1.07562963607825,1
"164","L03F6238",-1.17602619491337,1,-1.13739174058084,1
"165","L03F6239",0,1,0,1
"166","L03F6240",-0.175353081432867,1,-0.687726444973137,1
"167","L03F6241",0.0156615183708419,1,-0.836207668927046,1
"168","L03F6242",-0.220978746061049,1,-0.360789222343261,1
"169","L03F6243",0.687980765227611,1,0.365429513863872,1
"170","L03F6244",1.73004887636633,1,0.590156771603379,1
"171","L03F6245",-1.19814158118716,1,0.0784042713528903,1
"172","L03F6246",-0.924362925480059,1,0.29819381759606,1
"173","L03F6247",-0.242220144930782,1,-1.04984737888406,1
"174","L03F6248",-0.570591012734104,1,0.0703015537002417,1
"175","L03F6249",-1.52797581807338,1,-1.04105067194168,1
"176","L03F6250",1.73010721446931,1,0.298986954622332,1
"177","L03F6251",-1.22237059323866,1,-0.154305577450478,1
"178","L03F6252",0.046965463039029,1,-0.624276987505724,1
"179","L03F6253",0.0469533611480929,1,-0.608001058396172,1
"180","L03F6254",0.010924067338608,1,-0.908269311564293,1
